Shanon entropy,mPRH,instHR,Soft Decision
2.004589362,2795.587055,64,3
2.344190533,2789.490068,64,3
2.324836558,2726.69905,64,3
2.32030083,2663.908032,65,3
2.218066854,2602.349929,66,3
1.987917398,2540.791826,71,3
2.596255839,38436.6782,69,3
2.406264212,38083.80119,71,3
2.276035512,24436.21119,73,3
2.110640793,10788.62118,74,3
2.112277636,9936.042715,71,3
2.091583274,10788.62118,71,3
2.093287114,9936.042715,70,3
2.109179395,10788.62118,71,3
2.153932047,9936.042715,71,3
2.187711303,9083.464249,70,3
2.150993855,8636.242888,73,3
2.075519044,9083.464249,74,3
1.881422122,8636.242888,76,3
1.754417873,8189.021526,76,3
1.746545626,7999.24644,76,3
1.749099855,7809.471353,77,3
1.733862557,7728.927067,77,3
1.688074865,7648.382782,76,3
1.656598479,7564.168209,75,3
1.717217757,7648.382782,73,3
1.648901446,7564.168209,73,3
1.572609975,7479.953637,73,3
2.339780338,1128.371942,77,3
2.150840911,1043.705158,82,3
2.288748902,1128.371942,80,3
2.089124446,1084.174205,85,2
1.876351605,1146.666473,88,2
1.826281076,1084.174205,89,2
1.828829605,1063.939681,89,2
1.790119113,1043.705158,89,2
1.721014262,1039.857384,91,2
1.672689289,1043.705158,92,2
1.713721316,1063.939681,90,2
1.912301507,1084.174205,86,2
2.027646332,1118.698796,84,3
1.882872959,1153.223386,85,2
1.722736189,1118.698796,87,2
1.643242415,1084.174205,88,2
1.568139017,1063.939681,89,2
1.386917659,1084.174205,95,2
1.266587697,1118.698796,97,2
1.792577796,366.3306845,87,2
1.774600113,360.4738557,88,2
1.681485343,356.5946554,89,2
1.507802014,360.4738557,92,2
1.383499469,356.6196528,93,2
1.412225378,352.7654498,93,2
1.290948982,356.6196528,93,2
1.289150483,360.4738557,93,2
1.410984179,356.6196528,92,2
1.511576338,360.4738557,92,2
1.62268769,362.9667452,92,2
1.705596516,365.4596348,92,2
1.835322089,367.3942068,91,2
1.757139772,369.3287789,92,2
1.671543374,367.3942068,94,2
1.653783776,365.4596348,94,2
1.742960365,367.3942068,92,2
1.849578411,369.3287789,89,2
1.780619926,367.3942068,90,2
1.781290593,365.4596348,90,2
1.981954809,6938.373576,86,2
1.90740449,7196.275168,87,2
2.056189344,6938.373576,86,2
2.073395435,6680.471984,86,2
2.101564309,5988.805677,86,2
2.072333252,6680.471984,88,2
2.152995078,6376.222832,86,2
2.103968523,6680.471984,86,2
1.997114094,6376.222832,87,2
2.204405806,6680.471984,81,3
2.573380259,6938.373576,74,3
2.599929028,6680.471984,72,3
2.56261197,6938.373576,73,3
2.74481519,7196.275168,71,3
2.974543598,7518.156446,63,0
2.92733814,7840.037723,63,0
1.727992304,3366.329663,75,3
1.753692225,3603.440836,78,3
0.979110595,11628.04255,96,2
0.956219315,11289.17025,98,2
1.019897292,11155.18329,96,2
1.112167747,11021.19632,95,2
0.958356505,10719.13163,98,2
0.985726813,11021.19632,97,2
1.040255722,10782.10984,95,2
1.25106745,10543.02336,95,2
